iter	Passed	Remaining
0	1	171
1	3	158
2	4	143
3	5	129
4	6	123
5	7	121
6	8	118
7	10	116
8	11	113
9	12	111
10	15	121
11	16	120
12	17	118
13	18	115
14	20	113
15	21	110
16	22	108
17	23	106
18	24	104
19	25	102
20	26	101
21	29	104
22	31	105
23	32	104
24	34	102
25	35	101
26	36	99
27	38	98
28	39	96
29	40	94
30	41	92
31	45	95
32	46	94
33	48	93
34	49	91
35	51	90
36	52	89
37	53	87
38	54	85
39	56	84
40	57	82
41	58	80
42	60	79
43	61	78
44	62	76
45	63	74
46	64	73
47	66	71
48	67	70
49	68	68
50	69	66
51	70	65
52	71	63
53	74	63
54	75	61
55	76	60
56	77	58
57	79	57
58	80	55
59	81	54
60	82	52
61	83	51
62	84	49
63	85	48
64	87	46
65	89	46
66	91	45
67	93	43
68	94	42
69	95	40
70	96	39
71	97	38
72	98	36
73	100	35
74	101	33
75	103	32
76	105	31
77	106	30
78	108	28
79	109	27
80	110	25
81	111	24
82	112	23
83	113	21
84	114	20
85	115	18
86	116	17
87	119	16
88	121	14
89	122	13
90	123	12
91	124	10
92	125	9
93	126	8
94	127	6
95	128	5
96	129	4
97	130	2
98	131	1
99	134	0
