iter	Passed	Remaining
0	145	144947
1	147	73522
2	150	50033
3	152	37948
4	154	30683
5	155	25792
6	157	22304
7	159	19749
8	163	18042
9	166	16457
10	167	15103
11	169	13947
12	170	12978
13	172	12141
14	175	11495
15	179	11010
16	182	10530
17	183	10009
18	184	9541
19	186	9122
20	187	8750
21	190	8488
22	193	8207
23	194	7925
24	196	7653
25	197	7396
26	198	7158
27	199	6936
28	200	6724
29	201	6526
30	202	6342
31	205	6205
32	208	6096
33	209	5952
34	210	5806
35	212	5677
36	215	5605
37	216	5484
38	217	5367
39	219	5272
40	222	5198
41	224	5115
42	225	5017
43	226	4921
44	227	4829
45	228	4742
46	229	4659
47	230	4577
48	231	4499
49	232	4424
50	235	4375
51	237	4330
52	238	4268
53	240	4220
54	242	4158
55	243	4099
56	244	4040
57	245	3983
58	246	3928
59	247	3874
60	248	3832
61	252	3817
62	253	3774
63	255	3738
64	256	3692
65	257	3648
66	258	3604
67	259	3561
68	260	3521
69	261	3479
70	262	3440
71	265	3424
72	267	3401
73	269	3372
74	270	3341
75	272	3308
76	273	3275
77	274	3243
78	275	3210
79	276	3178
80	277	3148
81	279	3132
82	282	3116
83	283	3091
84	284	3064
85	285	3039
86	288	3026
87	290	3006
88	291	2981
89	292	2955
90	295	2948
91	297	2934
92	299	2919
93	300	2895
94	301	2872
95	302	2850
96	303	2827
97	304	2804
98	305	2782
99	306	2762
100	307	2740
101	309	2725
102	311	2711
103	312	2693
104	314	2678
105	315	2659
106	316	2640
107	317	2621
108	318	2603
109	319	2585
110	320	2566
111	321	2549
112	322	2531
113	324	2524
114	326	2510
115	328	2501
116	330	2491
117	331	2475
118	332	2461
119	333	2445
120	334	2430
121	335	2413
122	336	2398
123	337	2384
124	339	2374
125	341	2370
126	342	2357
127	344	2347
128	345	2336
129	349	2337
130	351	2328
131	352	2316
132	357	2333
133	361	2335
134	362	2323
135	363	2311
136	365	2299
137	366	2288
138	367	2277
139	369	2269
140	371	2263
141	372	2251
142	374	2243
143	375	2233
144	376	2221
145	377	2210
146	379	2200
147	380	2189
148	381	2177
149	382	2168
150	384	2161
151	385	2151
152	387	2143
153	390	2142
154	391	2132
155	392	2122
156	393	2112
157	394	2103
158	395	2093
159	396	2083
160	397	2073
161	399	2065
162	401	2061
163	402	2053
164	404	2044
165	405	2037
166	408	2035
167	409	2026
168	410	2017
169	411	2009
170	413	2002
171	414	1996
172	416	1991
173	417	1983
174	419	1976
175	420	1969
176	422	1962
177	423	1954
178	424	1945
179	425	1938
180	426	1930
181	428	1924
182	429	1918
183	431	1912
184	432	1906
185	436	1909
186	438	1906
187	440	1901
188	441	1895
189	448	1913
190	450	1907
191	452	1902
192	453	1896
193	455	1890
194	456	1885
195	464	1903
196	465	1898
197	467	1892
198	468	1886
199	470	1880
200	471	1874
201	472	1867
202	474	1862
203	476	1857
204	478	1854
205	479	1847
206	481	1842
207	485	1846
208	486	1841
209	488	1838
210	493	1844
211	494	1838
212	496	1833
213	499	1832
214	500	1827
215	501	1821
216	503	1818
217	506	1816
218	507	1811
219	509	1806
220	510	1800
221	511	1793
222	513	1787
223	514	1781
224	515	1774
225	516	1768
226	517	1761
227	519	1759
228	521	1754
229	522	1750
230	524	1744
231	525	1738
232	526	1732
233	527	1726
234	528	1720
235	529	1714
236	530	1708
237	531	1702
238	533	1699
239	535	1696
240	537	1691
241	538	1686
242	539	1681
243	540	1676
244	542	1670
245	543	1664
246	544	1658
247	545	1653
248	546	1648
249	547	1642
250	551	1644
251	553	1643
252	554	1637
253	555	1632
254	557	1627
255	558	1622
256	559	1616
257	560	1611
258	561	1605
259	562	1600
260	564	1599
261	567	1597
262	568	1592
263	569	1588
264	570	1583
265	573	1583
266	574	1578
267	575	1573
268	577	1568
269	579	1567
270	582	1565
271	584	1563
272	585	1558
273	586	1554
274	587	1549
275	588	1544
276	589	1539
277	591	1535
278	592	1530
279	593	1526
280	595	1524
281	597	1521
282	599	1519
283	600	1514
284	602	1510
285	603	1505
286	604	1501
287	605	1496
288	606	1492
289	608	1489
290	610	1487
291	613	1486
292	615	1485
293	616	1481
294	618	1477
295	619	1472
296	620	1468
297	621	1464
298	622	1460
299	627	1463
300	628	1459
301	630	1457
302	631	1453
303	633	1449
304	634	1445
305	635	1441
306	636	1437
307	637	1432
308	640	1431
309	642	1429
310	643	1426
311	645	1422
312	646	1419
313	649	1419
314	650	1415
315	652	1411
316	653	1408
317	655	1405
318	658	1405
319	659	1402
320	660	1398
321	664	1398
322	667	1398
323	672	1402
324	676	1404
325	679	1404
326	684	1408
327	688	1410
328	692	1412
329	695	1412
330	700	1415
331	703	1415
332	705	1413
333	707	1411
334	710	1410
335	713	1409
336	716	1409
337	718	1407
338	720	1404
339	721	1400
340	722	1396
341	723	1392
342	725	1388
343	726	1384
344	729	1384
345	731	1382
346	733	1380
347	734	1376
348	735	1372
349	736	1368
350	737	1364
351	738	1360
352	739	1356
353	740	1352
354	744	1352
355	746	1350
356	748	1347
357	749	1344
358	750	1340
359	751	1336
360	752	1332
361	753	1328
362	755	1324
363	756	1321
364	758	1320
365	760	1318
366	762	1315
367	764	1312
368	765	1308
369	766	1304
370	767	1300
371	768	1297
372	769	1293
373	770	1289
374	772	1286
375	776	1288
376	778	1285
377	779	1282
378	780	1279
379	783	1277
380	784	1274
381	785	1270
382	786	1267
383	789	1266
384	792	1265
385	793	1262
386	794	1258
387	795	1255
388	796	1251
389	797	1248
390	799	1244
391	800	1240
392	801	1237
393	804	1236
394	805	1233
395	807	1231
396	808	1228
397	809	1225
398	811	1221
399	812	1218
400	813	1214
401	814	1211
402	815	1208
403	819	1208
404	821	1206
405	823	1204
406	824	1200
407	825	1197
408	826	1194
409	827	1190
410	828	1187
411	829	1184
412	830	1180
413	833	1180
414	835	1177
415	837	1175
416	838	1172
417	839	1169
418	840	1165
419	841	1162
420	842	1159
421	844	1156
422	845	1152
423	847	1151
424	849	1149
425	850	1146
426	852	1144
427	854	1141
428	855	1138
429	856	1135
430	857	1132
431	858	1129
432	860	1126
433	861	1123
434	863	1121
435	864	1118
436	865	1115
437	867	1113
438	869	1110
439	870	1107
440	871	1104
441	872	1101
442	873	1098
443	874	1095
444	875	1092
445	878	1091
446	880	1088
447	882	1087
448	884	1084
449	885	1082
450	886	1078
451	887	1075
452	888	1072
453	889	1069
454	890	1066
455	892	1065
456	894	1062
457	896	1061
458	898	1058
459	899	1055
460	900	1052
461	901	1049
462	902	1046
463	903	1043
464	904	1041
465	905	1038
466	908	1037
467	911	1036
468	913	1034
469	914	1031
470	918	1031
471	919	1029
472	921	1026
473	923	1024
474	925	1022
475	927	1021
476	928	1018
477	930	1015
478	931	1013
479	932	1010
480	933	1007
481	934	1004
482	936	1001
483	939	1001
484	941	999
485	943	997
486	944	994
487	945	992
488	947	990
489	948	987
490	949	984
491	950	981
492	952	979
493	955	978
494	956	976
495	958	973
496	959	970
497	960	968
498	961	965
499	963	963
500	964	960
501	965	958
502	968	956
503	970	954
504	971	952
505	973	949
506	974	947
507	976	946
508	978	943
509	979	941
510	981	939
511	983	937
512	986	936
513	987	933
514	988	931
515	989	928
516	990	925
517	992	923
518	993	920
519	994	917
520	995	914
521	997	913
522	1000	912
523	1002	910
524	1003	907
525	1004	905
526	1005	902
527	1006	899
528	1007	897
529	1008	894
530	1009	891
531	1010	889
532	1012	887
533	1014	885
534	1016	883
535	1018	881
536	1019	878
537	1020	876
538	1021	873
539	1022	871
540	1023	868
541	1024	865
542	1026	863
543	1028	862
544	1030	860
545	1033	859
546	1034	856
547	1035	854
548	1036	851
549	1037	848
550	1038	846
551	1039	843
552	1040	841
553	1042	839
554	1044	837
555	1046	835
556	1047	832
557	1048	830
558	1051	829
559	1052	826
560	1053	824
561	1054	821
562	1055	819
563	1058	817
564	1060	816
565	1061	814
566	1062	811
567	1063	809
568	1064	806
569	1065	804
570	1066	801
571	1067	799
572	1068	796
573	1070	794
574	1073	793
575	1074	791
576	1076	789
577	1077	786
578	1078	784
579	1080	782
580	1081	779
581	1082	777
582	1083	774
583	1084	772
584	1087	771
585	1089	769
586	1091	767
587	1092	765
588	1093	763
589	1094	760
590	1095	758
591	1097	756
592	1098	753
593	1099	751
594	1100	748
595	1103	748
596	1105	746
597	1107	744
598	1108	742
599	1109	739
600	1110	737
601	1111	734
602	1112	732
603	1113	730
604	1114	727
605	1116	726
606	1119	724
607	1120	722
608	1121	719
609	1122	717
610	1125	716
611	1126	714
612	1128	712
613	1129	709
614	1131	708
615	1133	706
616	1135	704
617	1136	702
618	1137	700
619	1138	698
620	1140	695
621	1141	693
622	1142	691
623	1143	688
624	1144	686
625	1146	684
626	1149	683
627	1151	681
628	1152	680
629	1154	677
630	1155	675
631	1156	673
632	1157	671
633	1158	668
634	1160	666
635	1162	665
636	1164	663
637	1166	661
638	1167	659
639	1168	657
640	1169	655
641	1170	652
642	1171	650
643	1173	648
644	1174	646
645	1177	645
646	1179	643
647	1180	641
648	1182	639
649	1183	637
650	1184	634
651	1185	632
652	1186	630
653	1187	628
654	1188	625
655	1190	624
656	1192	622
657	1194	620
658	1195	618
659	1196	616
660	1198	614
661	1200	613
662	1201	610
663	1202	608
664	1204	606
665	1207	605
666	1210	604
667	1211	602
668	1212	600
669	1214	598
670	1215	595
671	1216	593
672	1217	591
673	1218	589
674	1219	587
675	1222	586
676	1224	584
677	1226	582
678	1227	580
679	1228	577
680	1229	575
681	1230	573
682	1231	571
683	1232	569
684	1233	567
685	1235	565
686	1236	563
687	1238	561
688	1240	560
689	1241	557
690	1242	555
691	1244	553
692	1245	551
693	1246	549
694	1247	547
695	1248	545
696	1250	543
697	1252	541
698	1253	539
699	1255	538
700	1257	536
701	1258	534
702	1259	531
703	1260	529
704	1261	527
705	1262	525
706	1263	523
707	1264	521
708	1267	520
709	1268	518
710	1269	516
711	1270	514
712	1274	513
713	1276	511
714	1278	509
715	1279	507
716	1281	505
717	1283	504
718	1285	502
719	1286	500
720	1287	498
721	1289	496
722	1290	494
723	1291	492
724	1292	490
725	1294	488
726	1296	486
727	1298	485
728	1301	483
729	1303	481
730	1304	479
731	1305	478
732	1306	476
733	1308	474
734	1310	472
735	1312	470
736	1314	469
737	1315	467
738	1317	465
739	1319	463
740	1322	462
741	1323	460
742	1328	459
743	1331	458
744	1332	456
745	1334	454
746	1335	452
747	1337	450
748	1338	448
749	1340	446
750	1342	445
751	1344	443
752	1347	441
753	1348	439
754	1349	437
755	1350	435
756	1352	434
757	1353	432
758	1354	430
759	1356	428
760	1357	426
761	1360	424
762	1361	422
763	1362	421
764	1364	419
765	1365	417
766	1366	415
767	1368	413
768	1370	411
769	1372	409
770	1374	408
771	1376	406
772	1377	404
773	1378	402
774	1379	400
775	1381	398
776	1382	396
777	1383	394
778	1385	392
779	1386	391
780	1389	389
781	1390	387
782	1392	385
783	1396	384
784	1397	382
785	1398	380
786	1400	379
787	1402	377
788	1405	375
789	1406	373
790	1407	371
791	1408	370
792	1409	368
793	1411	366
794	1412	364
795	1413	362
796	1415	360
797	1417	358
798	1418	356
799	1420	355
800	1421	353
801	1422	351
802	1423	349
803	1424	347
804	1425	345
805	1426	343
806	1427	341
807	1429	339
808	1431	337
809	1432	336
810	1434	334
811	1435	332
812	1436	330
813	1437	328
814	1438	326
815	1439	324
816	1440	322
817	1441	320
818	1442	318
819	1444	317
820	1446	315
821	1447	313
822	1449	311
823	1449	309
824	1451	307
825	1452	305
826	1453	304
827	1454	302
828	1455	300
829	1456	298
830	1457	296
831	1458	294
832	1460	292
833	1461	290
834	1462	288
835	1463	287
836	1464	285
837	1466	283
838	1467	281
839	1468	279
840	1470	277
841	1471	276
842	1472	274
843	1473	272
844	1474	270
845	1477	268
846	1478	267
847	1479	265
848	1480	263
849	1481	261
850	1482	259
851	1483	257
852	1484	255
853	1485	253
854	1486	252
855	1487	250
856	1488	248
857	1490	246
858	1492	244
859	1493	243
860	1494	241
861	1495	239
862	1497	237
863	1498	235
864	1499	233
865	1500	232
866	1501	230
867	1502	228
868	1503	226
869	1505	225
870	1507	223
871	1508	221
872	1510	219
873	1511	217
874	1512	216
875	1513	214
876	1514	212
877	1515	210
878	1516	208
879	1517	206
880	1518	205
881	1519	203
882	1521	201
883	1522	199
884	1523	197
885	1524	196
886	1526	194
887	1527	192
888	1528	190
889	1529	189
890	1530	187
891	1531	185
892	1532	183
893	1534	181
894	1535	180
895	1537	178
896	1538	176
897	1539	174
898	1540	173
899	1541	171
900	1542	169
901	1543	167
902	1544	165
903	1545	164
904	1546	162
905	1547	160
906	1548	158
907	1549	157
908	1550	155
909	1552	153
910	1553	151
911	1554	150
912	1555	148
913	1557	146
914	1558	144
915	1559	143
916	1560	141
917	1561	139
918	1562	137
919	1564	136
920	1565	134
921	1568	132
922	1569	130
923	1570	129
924	1571	127
925	1572	125
926	1573	123
927	1574	122
928	1575	120
929	1577	118
930	1578	116
931	1580	115
932	1584	113
933	1587	112
934	1591	110
935	1592	108
936	1596	107
937	1598	105
938	1599	103
939	1601	102
940	1602	100
941	1603	98
942	1604	96
943	1605	95
944	1606	93
945	1608	91
946	1610	90
947	1611	88
948	1614	86
949	1615	85
950	1616	83
951	1617	81
952	1618	79
953	1620	78
954	1621	76
955	1622	74
956	1625	73
957	1627	71
958	1629	69
959	1631	67
960	1632	66
961	1633	64
962	1634	62
963	1635	61
964	1636	59
965	1639	57
966	1642	56
967	1645	54
968	1646	52
969	1647	50
970	1648	49
971	1649	47
972	1650	45
973	1651	44
974	1654	42
975	1657	40
976	1658	39
977	1659	37
978	1661	35
979	1664	33
980	1665	32
981	1666	30
982	1668	28
983	1670	27
984	1672	25
985	1674	23
986	1675	22
987	1676	20
988	1677	18
989	1678	16
990	1679	15
991	1680	13
992	1681	11
993	1683	10
994	1686	8
995	1687	6
996	1689	5
997	1690	3
998	1691	1
999	1692	0
